"","year","total_fdi","china_fdi","total_articles"
"1","2002",1327170,385,15
"2","2003",1395159,284,67
"3","2004",1520316,435,72
"4","2005",1634121,574,136
"5","2006",1840463,785,114
"6","2007",1993156,584,120
"7","2008",2046662,1105,64
"8","2009",2069438,1624,115
"9","2010",2280044,3300,317
"10","2011",2433848,3598,189
"11","2012",2584708,7076,324
"12","2013",2727825,7855,338
"13","2014",2945795,10071,155
"14","2015",3354907,14714,123
"15","2016",3765114,40447,154
"16","2017",4025492,39518,491
"17","2018",4344610,39473,1343
