"","country","di_in","di_out","equity_in","equity_out","debt_in","debt_out","year"
"1","ChinaPRHongKong",15716,14062.803165688,9834,12222.874648966,5882,1839.92851672198,"2018"
"2","ChinaPRMainland",39473,67037.68817214,21982,67037.68817214,17491,NA,"2018"
"3","World",4344610,4503917.29675697,3709767,4103399.56633542,634843,389574.059089516,"2018"
"4","ChinaPRHongKong",11022,11711.5433836703,6888,9496.28871256719,4134,2215.25467110315,"2017"
"5","ChinaPRMainland",39518,NA,19106,NA,20411,NA,"2017"
"6","World",4025492,4523928.01770255,3314138,4127175.28538671,711354,395206.811613847,"2017"
"7","ChinaPRHongKong",11210,11538.5607428424,7219,8843.95150889863,3991,2694.48026824865,"2016"
"8","ChinaPRMainland",40447,NA,19423,NA,21024,NA,"2016"
"9","World",3765114,4289449.87594589,3029966,3924420.62456429,735148,356157.847031434,"2016"
"10","ChinaPRHongKong",10981,11032.4495193858,7027,9654.6029288433,3954,1377.71756660861,"2015"
"11","ChinaPRMainland",14714,NA,7975,NA,6739,NA,"2015"
"12","World",3354907,4071131.87719778,2733913,3645360.98387459,620994,416605.213173272,"2015"
"13","ChinaPRHongKong",9776,10037.6506995036,6699,9270.06640448714,3077,767.58429501644,"2014"
"14","ChinaPRMainland",10071,NA,6441,NA,3631,NA,"2014"
"15","World",2945795,3785521.23713152,2384659,3220174.11749175,561136,556880.514952605,"2014"
"16","ChinaPRHongKong",7404,8918.29496356484,5034,8619.20423034759,2369,299.090733217257,"2013"
"17","ChinaPRMainland",7855,NA,4857,NA,2998,NA,"2013"
"18","World",2727825,3308966.64401379,2222623,3137450.32684158,505202,471090.587658486,"2013"
"19","ChinaPRHongKong",9750,7874.07264047481,2660,7340.55867363396,7090,533.384942906909,"2012"
"20","ChinaPRMainland",7076,NA,6049,NA,1027,NA,"2012"
"21","World",2584708,2857302.86776701,2084746,2665804.81827069,499962,469455.916919806,"2012"
"22","ChinaPRHongKong",7605,9506.27776704655,1238,8972.24905028652,6367,534.157491468676,"2011"
"23","ChinaPRMainland",3598,NA,3088,NA,509,NA,"2011"
"24","World",2433848,2990989.87651296,1903484,2177528.83661616,530364,541463.862707815,"2011"
"25","ChinaPRHongKong",4440,12130.9408965207,2946,10624.2202070873,1494,1506.59206379831,"2010"
"26","ChinaPRMainland",3300,NA,2714,NA,586,NA,"2010"
"27","World",2280044,2505554.6807006,1785504,1872521.1968203,494540,347092.965634178,"2010"
"28","ChinaPRHongKong",4236,11837.9214750822,NA,10683.2570433886,NA,1154.66443169364,"2009"
"29","ChinaPRMainland",1624,NA,916,NA,708,NA,"2009"
"30","World",2069438.000112,2415501.98078856,1587880,1735215.65791966,481558,395414.897387089,"2009"
