"","year","EF_yravg"
"1",2000,0.0852459016393443
"2",2001,-0.694444444444444
"3",2002,-0.6875
"4",2003,-1.71140939597315
"5",2004,-2.74172185430464
"6",2005,-1.93103448275862
"7",2006,-0.881818181818182
"8",2007,-2.46120689655172
"9",2008,-2.17894736842105
"10",2009,-2.93658536585366
"11",2010,-0.771717171717172
"12",2011,-0.4375
"13",2012,-1.73076923076923
"14",2013,-1.05454545454545
"15",2014,-1.89130434782609
"16",2015,-1.85775862068966
"17",2016,-2.24183006535948
"18",2017,-1.56052631578947
"19",2018,-7.55354752342704
"20",2019,-7.46040372670807
