"","year","BFyravg"
"1",2000,-3.71929824561404
"2",2001,-16.8297872340426
"3",2002,-6.84313725490196
"4",2003,-11.0281690140845
"5",2004,-5.34782608695652
"6",2005,-6.36633663366337
"7",2006,-9.28888888888889
"8",2007,-2.98305084745763
"9",2008,-2.55555555555556
"10",2009,-2.27380952380952
"11",2010,-11.9439252336449
"12",2011,-1.76136363636364
"13",2012,-8.11711711711712
"14",2013,-22.6153846153846
"15",2014,-10.9396551724138
"16",2015,-3.12941176470588
"17",2016,-8.1625
"18",2017,-20.90625
"19",2018,-29.048275862069
"20",2019,-23.0845070422535
