"","year","EFyravg"
"1",2000,5.91549295774648
"2",2001,1.37037037037037
"3",2002,-1.55555555555556
"4",2003,-3.61016949152542
"5",2004,-5.14814814814815
"6",2005,-1.13924050632911
"7",2006,-2.66666666666667
"8",2007,-3.97183098591549
"9",2008,0.765957446808511
"10",2009,-7.4025974025974
"11",2010,-10.5495495495495
"12",2011,-1.37234042553191
"13",2012,-7.25438596491228
"14",2013,7.32110091743119
"15",2014,-2.86746987951807
"16",2015,2.9041095890411
"17",2016,-4.89583333333333
"18",2017,-7.58778625954198
"19",2018,-77.2258064516129
"20",2019,-37.1148648648649
