"","year","EF_yravg","BF_yravg","index"
"1",2000,0.0852459016393443,-0.9,-0.814754098360656
"2",2001,-0.694444444444444,-3.58032128514056,-4.27476572958501
"3",2002,-0.6875,-1.10734463276836,-1.79484463276836
"4",2003,-1.71140939597315,-1.85537190082645,-3.5667812967996
"5",2004,-2.74172185430464,-0.464,-3.20572185430464
"6",2005,-1.93103448275862,-1.93150684931507,-3.86254133207369
"7",2006,-0.881818181818182,-1.4974358974359,-2.37925407925408
"8",2007,-2.46120689655172,-0.946859903381642,-3.40806679993336
"9",2008,-2.17894736842105,-0.656488549618321,-2.83543591803937
"10",2009,-2.93658536585366,-0.643356643356643,-3.5799420092103
"11",2010,-0.771717171717172,-2.6878612716763,-3.45957844339347
"12",2011,-0.4375,-0.816964285714286,-1.25446428571429
"13",2012,-1.73076923076923,-3.44598765432099,-5.17675688509022
"14",2013,-1.05454545454545,-4.37264150943396,-5.42718696397941
"15",2014,-1.89130434782609,-2.77928483353884,-4.67058918136493
"16",2015,-1.85775862068966,-2.17191283292978,-4.02967145361944
"17",2016,-2.24183006535948,-2.8489010989011,-5.09073116426058
"18",2017,-1.56052631578947,-4.4159113796576,-5.97643769544707
"19",2018,-7.55354752342704,-4.57510373443983,-12.1286512578669
"20",2019,-7.46040372670807,-5,-12.4604037267081
